oblast,nature_zone,eco_district,pasture_type,grazing_period_days,cattle_restored,cattle_degraded,sheep_goats_restored,sheep_goats_degraded,horses_restored,horses_degraded,camels_restored,camels_degraded
Мангистауская,Пустынная,Настоящая (средняя) пустыня,Биюргуново-кейреуковые с серополынниками,280.0,145.0,215.0,29.0,43.0,174.0,258.0,203.0,301.0
Мангистауская,Пустынная,Южная пустыня,Тытрово-биюргуновые,300.0,150.0,250.0,30.0,50.0,180.0,300.0,210.0,350.0
Мангистауская,Пустынная,Южная пустыня,Биюргуново-кейреуковые с серополынниками,300.0,160.0,250.0,32.0,50.0,192.0,300.0,224.0,350.0
Павлодарская,Степная,Умеренно-засушливая степь,Красноковыльно-разнотравно-полынные с типчаково-полынными на солонцах,175.0,50.0,75.0,10.0,15.0,60.0,90.0,70.0,105.0
Павлодарская,Степная,Засушливая степь,Красноковыльно-овсецово-разнотравные с типчаково-полынными на солонцах,175.0,85.0,105.0,17.0,21.0,102.0,126.0,119.0,147.0
Павлодарская,Степная,Засушливая степь,Ковыльно-типчаковые с полынно-типчаковыми на солонцах,175.0,100.0,110.0,20.0,22.0,120.0,132.0,140.0,154.0
Павлодарская,Степная,Умеренно-сухая степь,Ковыльно-типчаково- ксерофитно-разнотравные,175.0,90.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Павлодарская,Степная,Умеренно-сухая степь,Ковыльно-типчаково-полынные,175.0,75.0,130.0,15.0,26.0,90.0,156.0,105.0,182.0
Павлодарская,Степная,Сухая степь,Овсецово-ковыльно- типчаковые закустаренные,175.0,110.0,165.0,22.0,33.0,132.0,198.0,154.0,231.0
Павлодарская,Степная,Сухая степь,Типчаково-полынные закустаренные,175.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Павлодарская,Степная,Сухая степь,Ковыльно-типчаково-ксе-рофитово-разнотравные,175.0,95.0,130.0,19.0,26.0,114.0,156.0,133.0,182.0
Северо-Казахстанская,Лесостепная,Лесостеп-ной,Разнотравно-злаковые с березово-осиновыми колками,170.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Северо-Казахстанская,Лесостепная,Лесостеп-ной,Красноковыльно-разнотравно-полынные на солонцах,170.0,55.0,75.0,11.0,15.0,66.0,90.0,77.0,105.0
Северо-Казахстанская,Степная,Колочная степь,Разнотравно-злаковые с березово-осиновыми колками,170.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Северо-Казахстанская,Степная,Колочная степь,Красноковыльно-разнотравно-полынные с типчаково-полынными на солонцах,170.0,55.0,75.0,11.0,15.0,66.0,90.0,77.0,105.0
Северо-Казахстанская,Степная,Колочная степь,"Вейнико-разнотравные, пырейные и тростниковые луга",170.0,70.0,85.0,14.0,17.0,84.0,102.0,98.0,119.0
Северо-Казахстанская,Степная,Умеренно-засушливая степь,Разнотравно-злаковые с березово-осиновыми колками,170.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Северо-Казахстанская,Степная,Умеренно-засушливая степь,Красноковыльно-разнотрав-но-полынные с типачаково-полынными на солонцах,170.0,55.0,75.0,11.0,15.0,66.0,90.0,77.0,105.0
Северо-Казахстанская,Степная,Умеренно-засушливая степь,Ковыльно-разнотравные местами закустаренные,170.0,50.0,65.0,10.0,13.0,60.0,78.0,70.0,91.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Полынно-солянково- кейреуковые,270.0,110.0,165.0,22.0,33.0,132.0,198.0,154.0,231.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Серополынно- боялычево-кейреуковые,270.0,155.0,240.0,31.0,48.0,186.0,288.0,217.0,336.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Серополынно-эфемерово-кустарниковые с саксаульниками,270.0,110.0,165.0,22.0,32.0,132.0,198.0,154.0,231.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Серополынно-терескеновые местами закустаренные,270.0,130.0,200.0,26.0,40.0,156.0,240.0,182.0,280.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Саксаулово- эфемеровые с кустарниково-разнотравными,270.0,155.0,240.0,31.0,48.0,186.0,288.0,217.0,336.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Кустарниково-эфемеровые с преобладанием жузгуна,270.0,105.0,160.0,21.0,32.0,126.0,192.0,147.0,224.0
Туркестанская,Пустынная,Настоящая (средняя) пустыня,Каратавско-полынно-эфемеровые местами закустаренные,270.0,75.0,115.0,15.0,23.0,90.0,138.0,105.0,161.0
Туркестанская,Горная,Предгорья,Полынно-эфемеровые,205.0,100.0,145.0,20.0,29.0,120.0,174.0,140.0,203.0
Туркестанская,Горная,Предгорья,"Эфемерово-разнотравные, засоренные гультемией",205.0,100.0,185.0,20.0,37.0,120.0,222.0,140.0,259.0
Туркестанская,Горная,Предгорья,"Калтыково-разнотравные, засоренные гультемией",205.0,100.0,145.0,20.0,29.0,120.0,174.0,140.0,203.0
Туркестанская,Горная,Предгорья,"Полынно-эфемеровые, засоренные брунцом",205.0,100.0,125.0,20.0,25.0,120.0,150.0,140.0,175.0
Туркестанская,Горная,Предгорья,Пырейно-типчаково-разнотравье,205.0,50.0,70.0,10.0,14.0,60.0,84.0,70.0,98.0
Туркестанская,Горная,Горы,"Калтыково-разнотравье, засоренные гультемией",155.0,50.0,145.0,10.0,29.0,60.0,174.0,70.0,203.0
Туркестанская,Горная,Горы,"Эфемерово-сорнотравные, сбитые",155.0,50.0,145.0,10.0,29.0,60.0,174.0,70.0,203.0
Туркестанская,Горная,Горы,Ячменево-разнотравные,155.0,30.0,50.0,6.0,10.0,36.0,60.0,42.0,70.0
Туркестанская,Горная,Горы,Пырейно-типчаково-разнотравные,155.0,40.0,60.0,8.0,12.0,48.0,72.0,56.0,84.0
Ұлытау,Степная,Умеренно-сухая степь,Красноковыльно-овсецово-разнотравные,185.0,120.0,145.0,25.0,29.0,150.0,174.0,175.0,203.0
Ұлытау,Степная,Умеренно-сухая степь,Ковылково-типчаковые с полынно-кокпековыми на солонцах,185.0,130.0,190.0,26.0,38.0,156.0,228.0,182.0,262.0
Ұлытау,Степная,Умеренно-сухая степь,Красно-ковыльно- типчаково-овсецовые,185.0,90.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Ұлытау,Степная,Умеренно-сухая степь,Тырсово-типчаково-кустарниковые с полынниками,185.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Ұлытау,Степная,Сухая степь,Ковылково-типчаково- кустарниковые местами с полынью,185.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Ұлытау,Степная,Сухая степь,Тырсиково-типчаково- ковыльные с разнотравьем,185.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Ұлытау,Степная,Сухая степь,Овсецово-ковыльно-типчаковые закустаренные,185.0,140.0,250.0,28.0,50.0,168.0,300.0,196.0,350.0
Ұлытау,Степная,Пустынная степь,Ковыльно-типчаково-полынные,200.0,150.0,250.0,30.0,50.0,180.0,300.0,210.0,350.0
Ұлытау,Степная,Пустынная степь,Тырсово-полынные с волоснецово-чиевыми лугами,200.0,135.0,225.0,27.0,45.0,162.0,270.0,189.0,315.0
Ұлытау,Степная,Пустынная степь,Полынно-злаково-кустаренные,200.0,140.0,250.0,28.0,50.0,168.0,300.0,196.0,350.0
Ұлытау,Пустынная,Остепненная пустыня (полупустыня),Кокпеково-полынные и чернополынные,225.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Ұлытау,Пустынная,Остепненная пустыня (полупустыня),Еркеково-ковыльно-полынные,225.0,120.0,180.0,24.0,36.0,144.0,216.0,168.0,252.0
Ұлытау,Пустынная,Остепненная пустыня (полупустыня),Серополынно-еркеково-боялычевые,225.0,120.0,185.0,24.0,37.0,144.0,222.0,168.0,259.0
Ұлытау,Пустынная,Остепненная пустыня (полупустыня),Ковыльно-типчаково-полынные,225.0,135.0,225.0,27.0,45.0,162.0,270.0,189.0,315.0
Ұлытау,Пустынная,Настоящая (средняя пустыня),Серополынно-боялычевые,225.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Ұлытау,Пустынная,Настоящая (средняя пустыня),Серополынно-еркеково-боялычевые,225.0,85.0,110.0,17.0,22.0,102.0,132.0,119.0,154.0
Ұлытау,Пустынная,Настоящая (средняя пустыня),Серополынно-боялычево-ковыльные,225.0,105.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Восточно-Казахстанская,Степная,Сухая степь,Песчано-ковыльно-овсяницево-типчаковые,220.0,75.0,110.0,15.0,22.0,90.0,132.0,105.0,154.0
Восточно-Казахстанская,Степная,Сухая степь,Ковыльно-типчаково- полынные закустаренные,220.0,95.0,145.0,19.0,29.0,114.0,174.0,133.0,203.0
Восточно-Казахстанская,Степная,Сухая степь,"Вейнико-разнотравные, пырейные и тростниковые луга",220.0,80.0,120.0,16.0,24.0,96.0,144.0,122.0,168.0
Восточно-Казахстанская,Степная,Опустыненная степь,Ковыльно-типчаково-полынные,220.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Восточно-Казахстанская,Степная,Опустыненная степь,Тырсико-типчаково- кустарниковые,220.0,9.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Восточно-Казахстанская,Степная,Опустыненная степь,"Типчаково-ковыльно-полынные, местами закустаренные",220.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Восточно-Казахстанская,Пустынная,Остепнен-ная пустыня (полупустыня),Серополынно-ковыльно- типчаковые с эфемерами,225.0,160.0,250.0,32.0,50.0,192.0,300.0,224.0,350.0
Восточно-Казахстанская,Пустынная,Остепнен-ная пустыня (полупустыня),Боялычево-полынные с кокпековыми и солянко-полынными на солонцах,225.0,180.0,265.0,36.0,53.0,216.0,318.0,252.0,370.0
Восточно-Казахстанская,Пустынная,Остепнен-ная пустыня (полупустыня),Серополынно-боялычево-ковыльные,225.0,190.0,268.0,38.0,56.0,228.0,273.0,266.0,340.0
Восточно-Казахстанская,Пустынная,Остепнен-ная пустыня (полупустыня),Ковыльно-типчаково-разнотравные закустаренные,225.0,110.0,165.0,22.0,33.0,132.0,198.0,154.0,230.0
Восточно-Казахстанская,Горная,Предгорья,Ковыльно-разнотравно-кустарниковые,200.0,75.0,115.0,15.0,23.0,90.0,138.0,105.0,160.0
Восточно-Казахстанская,Горная,Предгорья,Ковыльно-овсецово-таволговые с зарослями шиповника и березо-осиновыми колками,200.0,70.0,100.0,14.0,20.0,84.0,120.0,98.0,140.0
Восточно-Казахстанская,Горная,Предгорья,Ковыльно-злаково-разнотравные закустаренные,200.0,65.0,100.0,13.0,20.0,78.0,120.0,91.0,140.0
Восточно-Казахстанская,Горная,Межгорные впадины,Ковыльно-типчаково-разнотравные закустаренные,165.0,90.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Восточно-Казахстанская,Горная,Межгорные впадины,Тырсово-полынные с биюргуном,165.0,130.0,200.0,26.0,40.0,156.0,240.0,182.0,280.0
Восточно-Казахстанская,Горная,Межгорные впадины,Ковыльно-разнотравно-кустарниковые,165.0,80.0,125.0,16.0,25.0,96.0,150.0,112.0,175.0
Восточно-Казахстанская,Горная,Межгорные впадины,Ковыльно-типчаково-кустарниковые,165.0,105.0,160.0,21.0,32.0,126.0,192.0,147.0,224.0
Восточно-Казахстанская,Горная,Горы,Ежово-разнотравные луговые,155.0,20.0,30.0,4.0,6.0,24.0,36.0,28.0,42.0
Восточно-Казахстанская,Горная,Горы,Кустарниково-злаково-разнотравные с таволгой,155.0,65.0,95.0,13.0,19.0,78.0,114.0,91.0,133.0
Восточно-Казахстанская,Горная,Горы,Ковыльно-разнотравно-кустарниковые,155.0,65.0,90.0,13.0,18.0,78.0,114.0,91.0,126.0
Восточно-Казахстанская,Горная,Горы,Злаково- разнотравные и осоково-разнотравные луга в зоне листвиничных лесов,155.0,15.0,25.0,3.0,5.0,18.0,36.0,21.0,42.0
Восточно-Казахстанская,Горная,Горы,Разнотравно-злаковые луговые местами закустаренные,155.0,25.0,35.0,5.0,7.0,30.0,42.0,35.0,49.0
Восточно-Казахстанская,Горная,Горы,Манжетко-злаковые с участием кобрезиевых лугов,155.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Восточно-Казахстанская,Горная,Горы,Осоково-злаковые и кобрезиево-осоковые,155.0,60.0,90.0,12.0,18.0,72.0,108.0,84.0,126.0
Восточно-Казахстанская,Горная,Горы,Осоково-злаково-разнотравные,155.0,30.0,45.0,6.0,9.0,36.0,54.0,42.0,63.0
Восточно-Казахстанская,Горная,Горы,Разнотравно-ежоволуговые,155.0,20.0,30.0,4.0,6.0,24.0,36.0,28.0,42.0
